Country      AO        POP      DEN      GDP      PR      CON      TR 
Austria      0.27      7.5      89       7.7      49      1.11      2.6
Belgium      0.3       9.8      323      9.8      59      1.04        1.6
Canada       0.42      23.5     2        8.7      17      2.82      0.1
Denmark      0.28      5.1      119      11       56      1.21      1.9
Finland      0.24      4.8      16       7.1      49      1.22      2.2
France       0.33      53.3     97       8.8      61      1.03        1.5
Germany      0.35      61.3     247      10.4     49      1.11      1.7
Greece       0.08      9.4      71       3.4      56      1.72      0.7
Iceland      0.34      0.2      2        9.8      57      1.23      2
Ireland      0.2       3.2      46       3.8      40      1.51      0.3
Italy        0.3       56.7     188      4.6      61      0.61      1.8
Japan        0.18      114.9    309      8.5      49      1.23      3.5
Luxembourg   0.43      0.4      138      9.8      44      1.61      0.8
Netherlands  0.3       13.9     412      9.4      56      1.08        1.5
New.Zealand  0.4       3.1      12       5.9      34      1.32      0.2
Norway       0.28      4.1      13       9.8      61      1.06        1.7
Portugal     0.1       9.8      107      1.8      68      0.73      0.9
Spain        0.18      36.8     73       4        44      0.82      1.3
Sweden       0.34      8.3      18       10.6     42      1.31      1.7
Switzerland  0.32      6.3      153      13.3     56      1.33      2
Turkey       0.014     42.7     55       1.2      36      3.32      0.1
U.K.         0.27      55.8     229      5.5      35      1.21      1.6
U.S.A.       0.43      218.2    23       9.7      17      2.71      0.3
Yugoslavia   0.09      22       86       2.1      40      1.13      2.1
