A    T      S     C       P   E     y
0    0   1.75  13.4   0.274   2   2.61
1    3   4.10   3.9   0.198   2   1.81
0    4   2.35   5.3   0.526   1   1.78
1    6   4.25   7.1   0.250   1   0.83
0    9   1.60   6.9   0.018   2   1.28
0   25   3.35   4.9   0.194   1   1.51
0   27   2.85  12.1   0.751   1   1.84
1   28   2.20   5.2   0.084   1   1.62
1   29   4.40   4.1   0.236   1   1.01
1   32   3.10   2.8   0.214   1   1.39
0   33   3.95   6.8   0.796   1   1.74
1   35   2.90   3.0   0.124   1   1.57
1   38   2.05   7.0   0.144   1   2.47
0   39   4.00  11.3   0.398   1   1.49
0   53   3.35   4.2   0.237   2   1.29
0   56   3.80   2.2   0.230   1   0.14
1   59   3.40   6.5   0.142   2   1.62
1   65   3.15   3.1   0.073   1   0.75
0   68   3.15   2.6   0.136   1  -0.21
1   82   4.01   8.3   0.123   1   0.10
