E.RS        B.RS        EB.RS         hFE
14.62       226.0       7.000         128.40
15.63       220.0       3.375         52.62
14.62       217.4       6.375         113.90
15.00       220.0       6.000         98.01
14.50       226.5       7.625         139.90
15.25       224.1       6.000         102.60
16.12       220.5       3.375         48.14
15.13       223.5       6.125         109.60
15.50       217.6       5.000         82.68
15.13       228.5       6.625         112.60
15.50       230.2       5.750         97.52
16.12       226.5       3.750         59.06
15.13       226.6       6.125         111.80
15.63       225.6       5.375         89.09
15.38       234.0       8.875         171.90
15.50       230.0       4.000         66.80
14.25       224.3       8.000         157.10
14.50       240.5       5.870         108.40
14.62       223.7       7.375         133.40
15.22       235.0       9.875         183.90
14.98       222.0       4.555         88.80
14.88       229.3       8.545         151.10
14.50       249.5       9.870         189.40
15.62       243.7       8.375         155.40
